"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-80-3880718306-3832830129-1677859214-2598158968-1052248003","C:\Windows\ServiceProfiles\MSSQLSERVER","KULDGDITN048L","NT SERVICE\MSSQLSERVER",""
"S-1-5-80-3763098489-2620711134-3767674660-4164406483-1621732","C:\Windows\ServiceProfiles\MsDtsServer130","KULDGDITN048L","NT SERVICE\MsDtsServer130",""
"S-1-5-80-276644236-2773105036-505888595-2136462169-2121681920","C:\Windows\ServiceProfiles\SQLTELEMETRY$JAZADB","KULDGDITN048L","NT SERVICE\SQLTELEMETRY$JAZADB",""
"S-1-5-80-2652535364-2169709536-2857650723-2622804123-1107741775","C:\Windows\ServiceProfiles\SQLTELEMETRY","KULDGDITN048L","NT SERVICE\SQLTELEMETRY",""
"S-1-5-80-2418646625-3018056886-1304823170-2877102040-3549633910","C:\Windows\ServiceProfiles\MSSQL$JAZADB","KULDGDITN048L","NT SERVICE\MSSQL$JAZADB",""
"S-1-5-80-1625532266-625503396-2441596095-4129757946-3375356652","C:\Windows\ServiceProfiles\SSISTELEMETRY130","KULDGDITN048L","NT SERVICE\SSISTELEMETRY130",""
"S-1-5-21-2102092108-1102871994-1244863647-338602","C:\Users\amirul_ikram","KULDGDITN048L","POS\amirul_ikram",""
"S-1-5-21-2102092108-1102871994-1244863647-331037","C:\Users\prodata.dms","KULDGDITN048L","POS\prodata.dms",""
"S-1-5-21-2102092108-1102871994-1244863647-330993","C:\Users\sharool.abdullah","KULDGDITN048L","POS\sharool.abdullah",""
"S-1-5-21-2102092108-1102871994-1244863647-322549","C:\Users\wssb.epoint","KULDGDITN048L","S-1-5-21-2102092108-1102871994-1244863647-322549",""
"S-1-5-21-2102092108-1102871994-1244863647-322402","C:\Users\prez.jazatol","KULDGDITN048L","POS\prez.jazatol",""
"S-1-5-21-2102092108-1102871994-1244863647-316056","C:\Users\jazatol.jaafar","KULDGDITN048L","POS\jazatol.jaafar",""
